Kinase,Group,Family,Gene Symbol
p38g(MAPK12),CMGC,MAPK,MAPK12
MAK,CMGC,RCK,MAK
MOK,CMGC,RCK,RAGE
ICK,CMGC,RCK,ICK
SRPK1,CMGC,SRPK,SRPK1
SRPK2,CMGC,SRPK,SRPK2
MSSK1,CMGC,SRPK,SRPK3
AurA,Other,Aur,AURKA
AurC,Other,Aur,AURKC
AurB,Other,Aur,AURKB
BUB1,Other,BUB,BUB1
BUBR1,Other,BUB,BUB1B
PRPK,Other,Bud32,TP53RK
CaMKK2,Other,CAMKK,CAMKK2
CaMKK1,Other,CAMKK,CAMKK1
CDC7,Other,CDC7,CDC7
Haspin,Other,Haspin,GSG2
IKKa,Other,IKK,CHUK
IKKb,Other,IKK,IKBKB
IKKe,Other,IKK,IKBKE
TBK1,Other,IKK,TBK1
IRE1,Other,IRE,ERN1
IRE2,Other,IRE,ERN2
KIS,Other,KIS,UHMK1
MOS,Other,MOS,MOS
AAK1,Other,NAK,AAK1
BIKE,Other,NAK,BMP2K
GAK,Other,NAK,GAK
MPSK1,Other,NAK,STK16
NEK1,Other,NEK,NEK1
NEK3,Other,NEK,NEK3
NEK5,Other,NEK,NEK5
NEK10,Other,NEK,NEK10
NEK11,Other,NEK,NEK11
NEK2,Other,NEK,NEK2
NEK4,Other,NEK,NEK4
NEK6,Other,NEK,NEK6
NEK7,Other,NEK,NEK7
NEK9,Other,NEK,NEK9
NEK8,Other,NEK,NEK8
SBK,Other,NKF1,SBK1
SgK069,Other,NKF1,LOC646643
SgK110,Other,NKF1,
PINK1,Other,NKF2,PINK1
SgK269,Other,NKF3,KIAA2002
SgK223,Other,NKF3,DKFZp761P0423
CLIK1,Other,NKF4,STK35
CLIK1L,Other,NKF4,PDIK1L
SgK307,Other,NKF5,TEX14
SgK424,Other,NKF5,
NRBP1,Other,NRBP,NRBP1
NRBP2,Other,NRBP,NRBP2
RNAseL,Other,Other-Unique,RNASEL
SgK396,Other,Other-Unique,STK31
SgK196,Other,Other-Unique,FLJ23356
GCN2,Other,PEK,EIF2AK4
HRI,Other,PEK,EIF2AK1
PEK,Other,PEK,EIF2AK3
PKR,Other,PEK,EIF2AK2
PLK1,Other,PLK,PLK1
PLK3,Other,PLK,PLK3
PLK2,Other,PLK,PLK2
PLK4,Other,PLK,PLK4
SCYL2,Other,SCY1,SCYL2
SCYL3,Other,SCY1,SCYL3
SCYL1,Other,SCY1,SCYL1
SgK071,Other,SgK071,C9orf96
SgK493,Other,SgK493,LOC91461
SgK496,Other,SgK496,RIPK5
Slob,Other,Slob,PXK
TBCK,Other,TBCK,MGC16169
TLK1,Other,TLK,TLK1
TLK2,Other,TLK,TLK2
PBK,Other,TOPK,PBK
TTK,Other,TTK,TTK
Fused,Other,ULK,STK36
ULK1,Other,ULK,ULK1
ULK2,Other,ULK,ULK2
ULK3,Other,ULK,ULK3
ULK4,Other,ULK,ULK4
PIK3R4,Other,VPS15,PIK3R4
Wee1,Other,WEE,WEE1
MYT1,Other,WEE,PKMYT1
Wee1B,Other,WEE,FLJ40852
Wnk1,Other,WNK,WNK1
